timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699722939238,10517,Categories-1,200,OK,Thread Group 1-10,text,true,,660006,124,30,30,https://evaly.com.bd/categories,88,0,0
1699722938524,11298,Categories,200,OK,Thread Group 1-19,text,true,,660363,249,30,30,https://evaly.com.bd/categories,74,0,0
1699722938524,74,Categories-0,308,Permanent Redirect,Thread Group 1-19,text,true,,349,125,30,30,http://evaly.com.bd/categories/,74,0,0
1699722938598,11224,Categories-1,200,OK,Thread Group 1-19,text,true,,660014,124,30,30,https://evaly.com.bd/categories,91,0,0
1699722936188,13794,Categories,200,OK,Thread Group 1-6,text,true,,660369,249,30,30,https://evaly.com.bd/categories,74,0,0
1699722936188,74,Categories-0,308,Permanent Redirect,Thread Group 1-6,text,true,,349,125,30,30,http://evaly.com.bd/categories/,74,0,0
1699722936262,13720,Categories-1,200,OK,Thread Group 1-6,text,true,,660020,124,30,30,https://evaly.com.bd/categories,587,0,0
1699722949263,747,Product view,200,OK,Thread Group 1-24,text,true,,80777,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,87,0,0
1699722949263,87,Product view-0,308,Permanent Redirect,Thread Group 1-24,text,true,,431,207,30,30,http://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226/,87,0,0
1699722949350,660,Product view-1,200,OK,Thread Group 1-24,text,true,,80346,206,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,106,0,0
1699722948988,1121,Product view,200,OK,Thread Group 1-16,text,true,,80778,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,91,0,0
1699722948988,91,Product view-0,308,Permanent Redirect,Thread Group 1-16,text,true,,431,207,30,30,http://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226/,91,0,0
1699722949079,1030,Product view-1,200,OK,Thread Group 1-16,text,true,,80347,206,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,163,0,0
1699722941238,8887,Categories,200,OK,Thread Group 1-20,text,true,,660362,249,30,30,https://evaly.com.bd/categories,77,0,0
1699722941238,78,Categories-0,308,Permanent Redirect,Thread Group 1-20,text,true,,349,125,30,30,http://evaly.com.bd/categories/,77,0,0
1699722941316,8809,Categories-1,200,OK,Thread Group 1-20,text,true,,660013,124,30,30,https://evaly.com.bd/categories,211,0,0
1699722940817,9326,Categories,200,OK,Thread Group 1-27,text,true,,660355,249,30,30,https://evaly.com.bd/categories,81,0,0
